x,y,color
1,0.95,5290
1,0.966666667,5290
0.989515991,0.955286882,5290
0.989515991,0.971953549,5290
1,0.983333333,5290
0.989515991,0.988620215,5290
1,1,5290
0.979031983,0.960573764,5290
0.979031983,0.977240431,5290
0.968547974,0.965860646,5290
0.983333333,1,5290
0.972849325,0.988620215,5290
0.966666667,1,5290
0.956182658,0.988620215,5290
0.95,1,5290
0.962365316,0.977240431,5290
1,0.9,5290
1,0.916666667,5290
0.988071178,0.908260758,5290
0.988071178,0.924927425,5290
1,0.933333333,5290
0.988071178,0.941594092,5290
0.976142355,0.916521517,5290
0.976142355,0.933188183,5290
0.964213533,0.924782275,5290
0.965658347,0.938475065,5290
0.977587169,0.946880974,5290
0.96710316,0.952167856,5290
0.933333333,1,5290
0.94118254,0.984906558,5290
0.924515873,0.984906558,5290
0.916666667,1,5290
0.907849206,0.984906558,5290
0.9,1,5290
0.932365079,0.969813116,5290
0.915698413,0.969813116,5290
0.923547619,0.954719674,5290
0.947365198,0.973526773,5290
0.938547737,0.958433332,5290
0.953547856,0.962146989,5290
0.950658228,0.934761408,5290
0.952103042,0.948454198,5290
0.937102923,0.944740541,5290
1,0.85,5290
1,0.866666667,5290
0.986230519,0.858534865,5290
0.986230519,0.875201532,5290
1,0.883333333,5290
0.986230519,0.891868198,5290
0.972461039,0.86706973,5290
0.972461039,0.883736397,5290
0.958691558,0.875604595,5290
0.960532216,0.891997155,5290
0.974301697,0.900128957,5290
0.962372874,0.908389715,5290
0.883333333,1,5290
0.890411315,0.985811515,5290
0.873744648,0.985811515,5290
0.866666667,1,5290
0.857077981,0.985811515,5290
0.85,1,5290
0.880822629,0.971623031,5290
0.864155963,0.971623031,5290
0.871233944,0.957434546,5290
0.906109727,0.955624632,5290
0.898260521,0.970718073,5290
0.888671836,0.956529589,5290
0.945781205,0.88335829,5290
0.947621864,0.89975085,5290
0.949462522,0.91614341,5290
0.932870853,0.891111986,5290
0.934711511,0.907504546,5290
0.9199605,0.898865681,5290
0.921156206,0.917483679,5290
0.935907217,0.926122543,5290
0.922351913,0.936101677,5290
0.910680498,0.943629575,5290
0.893242607,0.944534532,5290
0.875804715,0.945439489,5290
0.897813378,0.932539475,5290
0.880375486,0.933444433,5290
0.884946257,0.921449376,5290
0.909484792,0.925011577,5290
0.896617672,0.913921478,5290
0.908289086,0.906393579,5290
1,0.8,5290
1,0.816666667,5290
0.985566243,0.808333333,5290
0.985566243,0.825,5290
1,0.833333333,5290
0.985566243,0.841666667,5290
0.971132487,0.816666667,5290
0.971132487,0.833333333,5290
0.95669873,0.825,5290
0.957363006,0.841868198,5290
0.971796763,0.850201532,5290
0.958027282,0.858736397,5290
0.943192091,0.832899613,5290
0.943856367,0.849767811,5290
0.944520643,0.86663601,5290
0.929685453,0.840799226,5290
0.930349729,0.857667424,5290
0.916178814,0.848698839,5290
0.917439376,0.86542112,5290
0.931610291,0.874389705,5290
0.918699938,0.8821434,5290
0.833333333,1,5290
0.841046953,0.986196524,5290
0.824380287,0.986196524,5290
0.816666667,1,5290
